Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
504973, 00, 0.85, 10.62, 9.15, 17.06, tube-investments-of-india-ltd
532092, 0.23, --, --, --, -0.01, sagar-productions-limited
530057, 0.81, 3.79, --, --, -0.14, ivee-injectaa-ltd
512441, 1.11, --, --, --, 31.11, enbee-trade--finance-ltd
526073, 1.20, 0.77, 20.53, 16.67, 21.54, galaxy-bearings-ltd
530291, 1.80, --, --, --, -1.67, raj-agro-mills-ltd
502460, 1.83, --, --, --, -1.75, solid-containers-ltd
530565, 1.87, --, --, --, 0.16, archana-software-ltd
532364, 1.93, 0.01, -3.88, -3.14, -0.07, cyberscape-multimedia-ltd
506874, 2.44, --, --, --, 0.01, shreejal-info-hubs-ltd
590091, 2.52, 0.84, 31.30, 35.94, 2.64, trinethra-infra-ventures-ltd
531235, 2.66, --, 0.18, --, 0.02, citiport-financial-services-ltd
530443, 2.75, --, -9.20, -8.34, -0.51, kiran-syntex-ltd
531928, 2.79, 8.19, -8.74, -55.50, -0.37, golden-carpets-ltd
523862, 2.82, 0.66, 0.79, -3.92, 0.12, dhoot-industries-ltd
530697, 2.85, 0.01, --, --, -0.14, neelkanth-technologies-ltd
530173, 3.00, --, 8.98, 5.19, 1.51, oscar-global-ltd
513452, 3.20, --, --, --, -1.95, elango-industries-ltd
514484, 3.75, 0.19, -3.73, -6.88, -0.35, thambbi-modern-spinning-mills-ltd
539198, 3.76, --, --, --, 0.07, capfin-india-ltd
530841, 3.88, 0.63, 3.21, 0.22, 0.93, bil-continental-limited
513307, 3.97, 1.72, 18.37, 17.22, 11.45, synthiko-foils-ltd
532354, 4.52, --, 7.02, 3.24, 0.02, virgo-global-media-limited
531917, 4.64, 0.24, 3.52, 2.47, 1.14, twinstar-industries-limited
507609, 4.82, 0.30, 73.50, 41.41, 70.42, olympic-oil-industries-ltd
523062, 5.06, --, --, --, 0.95, jjfinance-corporation-ltd
539353, 5.24, --, 14.11, 9.58, 15.58, swaraj-automotives-ltd
531448, 6.16, --, 0.10, 0.07, -0.53, safal-securities-ltd
531250, 6.38, --, --, --, -5.03, rnb-industries-ltd
523021, 6.46, 0.73, 11.72, 9.30, 7.56, rishi-techtex-ltd
509835, 6.56, --, 52.67, -1.50, 11.46, premier-synthetics-ltd
517238, 6.66, --, --, --, -1.35, dynavision-ltd
538963, 6.70, 1.36, 8.43, 1.28, 3.25, pact-industries-ltd
539392, 7.37, --, --, --, 0.05, sang-froid-labs-(india)-ltd
519604, 7.46, --, --, --, -0.19, suryo-foods--industries-ltd
526445, 8.16, 0.08, --, --, -0.26, indrayani-biotech-ltd
505515, 8.18, --, -6.63, -6.79, -0.47, shyamkamal-investments-ltd
530537, 8.30, 1.18, --, --, -0.56, manraj-housing-finance-ltd
511764, 8.51, --, 8.87, 6.75, 2.43, upasana-finance-ltd
505807, 8.60, 0.01, 5.79, 3.69, 19.36, rolcon-engineering-coltd
512600, 8.74, --, --, --, -0.68, macro-(international)-exports-ltd
521131, 8.76, 2.28, 11.40, 1.66, 11.95, shree-bhavya-fabrics-ltd
539009, 8.93, 0.01, 0.42, 0.28, -0.08, gujarat-bitumen-ltd
524590, 9.06, 0.04, --, --, -0.18, hemo-organic-limited
531581, 9.14, 0.23, --, --, -0.18, alka-diamond-industries-ltd
531254, 9.28, --, -1.19, -20.42, 0.02, transpek-finance-ltd
590090, 9.52, 0.47, 3.12, 2.64, 2.55, swarnajyothi-agrotech--power-limited
513703, 9.80, --, -9.63, -11.64, 0.22, kumar-wire-cloth-manufacturing-company-ltd
539217, 10.00, 0.59, 0.80, 0.21, 0.14, ms-investments-ltd
539291, 10.02, 0.43, 4.81, 2.03, -0.71, ozone-world-ltd
517288, 10.16, --, 6.55, 2.16, 0.56, gujarat-poly-avx-electronics-ltd
519279, 10.25, 0.07, 0.43, 0.17, 0.30, madhur-industries-ltd
524582, 11.56, 3.03, 5.36, -9.80, 6.15, tirupati-starch--chemicals-ltd
507474, 12.31, 0.38, 7.41, 2.97, 2.92, kothari-fermentation--biochem-ltd
513397, 12.97, 1.19, 5.09, 5.36, 10.92, vallabh-steels-ltd
537068, 13.17, --, --, --, -0.01, satya-miners--transporters-ltd
532788, 13.21, --, -0.56, 3.13, -0.64, xl-energy-ltd
532386, 13.28, --, --, --, -4.60, california-software-coltd
539300, 13.38, 1.39, 7.29, 1.17, 7.77, ak-spintex-ltd
531236, 13.45, 0.39, 13.93, 11.87, 10.74, mewar-polytex-ltd
532730, 14.28, --, 15.25, 28.60, 0.02, stl-global-ltd
539201, 14.77, 1.82, 6.37, 8.58, 64.34, satia-industries-ltd
514474, 15.08, 2.35, 13.99, 13.06, 16.80, fair-deal-filaments-ltd
531398, 15.42, 0.02, 3.24, 3.35, 1.16, source-natural-foods--herbal-suppl-ltd
531626, 15.53, 0.46, -4.15, -8.45, 0.24, orosil-smiths-india-ltd
522183, 15.53, 0.71, 12.99, 10.30, 17.15, itl-industries-ltd
502563, 16.19, --, -34.89, 34.26, -7.64, shree-bhawani-paper-mills-ltd
512279, 16.37, --, --, --, -0.31, n2n-technologies-limited
530997, 16.73, 1.05, 15.37, 11.96, 3.55, unique-organics-ltd
531600, 16.99, 0.01, 10.34, 4.63, 1.73, gogia-capital-services-limited
523620, 18.09, --, 2.03, 1.06, 1.40, phaarmasia-ltd
514448, 18.30, 2.20, 6.38, 5.05, 2.25, jyoti-resins--adhesives-ltd
524699, 18.43, --, -0.35, 0.39, -0.43, kilburn-chemicals-ltd
505690, 18.61, --, 5.04, 22.78, 10.83, brady--morris-engineering-coltd
531569, 19.05, 1.70, 6.19, -7.51, 9.09, sanjivani-paranteral-ltd
511509, 20.10, 0.62, 4.75, 5.04, 3.00, vivo-bio-tech-ltd
521036, 20.81, --, -1.04, -1.06, -0.05, source-industries-(india)-ltd
500132, 20.94, --, -38.78, 70.41, -35.98, empee-sugars--chemicals-ltd
513713, 23.13, --, --, --, -0.32, white-diamond-industries-ltd
532329, 25.02, --, 5.13, 4.10, 0.63, danlaw-technologies-india-ltd
505302, 25.03, 4.75, 21.85, 144.28, -2.71, lakshmi-automatic-loom-works-ltd
539223, 25.27, 1.39, 25.36, 25.23, 15.91, ambition-mica-ltd
538837, 25.44, 1.79, 13.62, 9.71, 1.75, jeevan-scientific-technology-ltd
530919, 25.54, 1.58, 5.25, 0.25, 7.20, remsons-industries-ltd
531489, 26.64, 0.01, 15.67, 11.50, 3.18, cg-vak-software--exports-ltd
532993, 27.41, 0.63, -22.95, -76.73, -10.07, sezal-glass-limited
535566, 27.75, 1.12, 7.60, 8.82, 3.18, kifs-financial-services-ltd
526703, 28.37, 0.58, 13.19, 7.46, 18.93, ecoplast-ltd
526137, 29.62, 2.26, 13.76, 1.84, 27.76, shetron-ltd
514332, 30.78, --, 0.61, 0.15, 0.07, neo-infracon-ltd
539287, 32.20, 0.88, 12.03, 4.00, 3.83, ortin-laboratories-ltd
531146, 32.94, 1.19, 7.85, 2.60, 4.13, medicamen-biotech-ltd
532324, 33.37, 0.34, 3.26, -1.93, 0.82, cinevista-ltd
526161, 35.40, 0.17, 11.51, 6.62, 15.15, spenta-international-ltd
516030, 36.04, 2.52, 16.69, -17.17, 9.14, yash-papers-ltd
534623, 36.27, 0.02, 1.62, 1.17, 0.04, jupiter-infomedia-ltd
526179, 37.11, 0.61, -20.21, -12.07, -5.25, ludlow-jute--specialities-ltd
526616, 37.16, 1.47, 10.45, 5.55, 8.01, national-plastic-industries-ltd
524412, 37.16, 0.31, 6.23, 3.07, 0.81, aarey-drugs--pharmaceuticals-ltd
512273, 37.39, --, 4.15, 3.84, 4.99, aroni-commercials-ltd
532016, 38.95, --, --, --, -0.11, wellesley-corporation-ltd
537707, 39.71, 0.43, -2.68, -4.06, 1.22, ett-ltd
531215, 40.27, 1.01, 13.89, 1.40, 15.53, rts-power-corporation-ltd
526747, 40.87, 1.21, 7.64, 4.75, 13.18, pg-foils-ltd
531869, 41.19, 0.42, 2.94, 1.24, 1.88, sacheta-metals-ltd
526775, 42.69, --, --, --, 0.12, valiant-communications-ltd
524202, 42.77, 2.04, 7.24, 3.14, 6.08, lactose-(india)-ltd
514266, 43.91, 0.01, 25.10, 17.67, 15.83, zenith-fibres-ltd
539189, 44.00, 0.08, --, --, 0.36, adhbhut-infrastructure-ltd
524727, 45.11, --, -3.78, 59.79, 2.03, span-diagnostics-ltd
538715, 48.18, 1.23, 17.20, 14.79, 11.18, dhabriya-polywood-ltd
514354, 50.59, 0.48, 12.10, 9.87, 2.48, premier-polyfilm-ltd
524828, 50.98, 0.39, 13.56, 11.34, 6.61, bdh-industries-ltd
531979, 51.63, 1.29, 10.68, 11.51, 24.91, hind-aluminium-industries-ltd
523371, 52.89, --, 107.56, 47.09, -13.16, mawana-sugars-ltd
590082, 53.75, 0.08, 11.38, 6.36, 5.82, lohia-securities-ltd
505590, 54.33, 0.76, --, --, 0.27, svp-global-ventures-ltd
506854, 55.16, --, 3.27, 1530.19, 7.57, tanfac-industries-ltd
537536, 55.47, 2.41, 9.96, 0.48, 10.29, denis-chem-lab-ltd
533608, 55.98, 0.20, 15.01, 10.95, 1.44, rdb-rasayans-ltd
517522, 56.57, 0.74, 13.05, 7.79, 47.54, rajratan-global-wire-ltd
514286, 56.89, --, -5.74, 4.46, -2.19, ashima-ltd
514030, 57.05, 1.16, 13.95, 9.78, 49.23, deepak-spinners-ltd
536974, 57.42, 0.95, 23.20, 10.67, 12.82, captain-polyplast-ltd
532376, 58.48, 0.84, -16.90, -42.04, -4.06, mro-tek-ltd
539400, 60.65, 1.01, 12.96, 11.04, 25.46, mallcom-(india)-ltd
504786, 60.65, 0.58, 9.39, 4.41, 21.57, investment--precision-castings-ltd
519003, 64.60, 0.95, 5.26, 0.53, 3.79, modi-naturals-limited
530317, 66.08, 0.65, 25.07, 27.92, 7.68, godavari-drugs-ltd
516082, 67.06, 4.32, 4.54, -43.84, 17.83, nragarwal-industries-ltd
500354, 69.23, 12.79, -1.76, -110.84, 3.58, rajshree-sugars--chemicals-ltd
532878, 69.33, 0.33, 0.12, -1.61, 1.62, alpa-laboratories-ltd
500153, 69.49, --, 2.90, -0.09, 4.46, ganesh-benzoplast-ltd
531719, 69.72, 1.41, 7.35, 5.10, 20.97, bhagiradha-chemicals--industries-ltd
532384, 69.96, 0.18, 7.70, 4.40, 6.90, tyche-industries-ltd
533982, 71.82, 0.58, 11.23, 5.08, 13.53, tera-software-ltd
526608, 72.13, --, -21.21, 42.97, -255.12, electrotherm-(india)-ltd
514045, 72.26, 1.86, 10.40, 10.70, 37.19, bsl-ltd
530505, 75.06, --, -3.48, 2930.16, -5.33, upper-ganges-sugar--industries-ltd
531739, 76.28, 0.15, 4.50, 2.56, 0.16, gennex-laboratories-ltd
532626, 78.04, 1.78, 18.88, 21.09, 30.51, pondy-oxides--chemicals-ltd
504028, 80.21, 0.80, 11.09, 4.07, 6.16, gee-ltd
532729, 80.74, 40.10, 1.17, -313.98, 12.37, uttam-sugar-mills-ltd
532989, 81.16, 0.89, 15.69, 8.52, -8.45, bafna-pharmaceuticals-ltd
507260, 81.25, --, 1.93, 59.08, 16.96, oudh-sugar-mills-ltd
531744, 82.43, 0.27, 12.19, 8.57, 4.23, gini-silk-mills-ltd
500356, 83.34, --, -21.15, 502.67, -6.31, shree-rama-newsprint-ltd
532713, 84.84, 1.66, 6.88, 11.31, 1.64, sakuma-exports-ltd
526423, 89.78, 0.74, 18.60, 5.19, 3.88, kriti-industries-(india)-ltd
538952, 97.21, --, 24.91, 16.56, 115.39, abhinav-leasing--finance-ltd
512493, 101.53, 0.02, --, --, 0.55, garnet-international-ltd
531129, 101.69, 0.59, 22.04, 16.18, 44.07, inani-marbles--industries-ltd
506879, 102.65, --, 111.26, -584.96, 4.33, gujarat-themis-biosyn-ltd
532172, 105.77, 0.26, --, --, 0.73, sphere-global-services-ltd
509692, 106.47, 0.14, -3.63, -4.48, 7.39, indian-card-clothing-coltd
532610, 106.62, 7.87, 7.53, -23.02, 57.13, dwarikesh-sugar-industries-ltd
