Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
511024, 0.64, --, --, --, 0.88, subway-finance--investment-coltd
512441, 1.13, --, --, --, 31.11, enbee-trade--finance-ltd
530179, 1.47, --, --, --, 0.02, rsc-international-ltd
530565, 1.87, --, --, --, 0.16, archana-software-ltd
506874, 2.44, --, --, --, 0.01, shreejal-info-hubs-ltd
539198, 3.76, --, --, --, 0.07, capfin-india-ltd
523062, 5.06, --, --, --, 0.95, jjfinance-corporation-ltd
539353, 5.24, --, 14.11, 9.58, 15.58, swaraj-automotives-ltd
507609, 5.29, 0.30, 73.50, 41.41, 70.42, olympic-oil-industries-ltd
532303, 5.34, --, --, --, 0.10, integrated-hitech-ltd
538882, 6.14, --, --, --, 0.44, emerald-leasing-finance--investment-company-ltd
509835, 6.56, --, 52.67, -1.50, 11.46, premier-synthetics-ltd
539392, 8.03, --, --, --, 0.05, sang-froid-labs-(india)-ltd
526001, 11.56, 0.11, 24.18, 27.62, 5.76, jauss-polymers-ltd
531236, 14.97, 0.39, 13.93, 11.87, 10.74, mewar-polytex-ltd
532730, 17.54, --, 15.25, 28.60, 0.02, stl-global-ltd
531600, 18.09, 0.01, 10.34, 4.63, 1.73, gogia-capital-services-limited
531489, 26.64, 0.01, 15.67, 11.50, 3.18, cg-vak-software--exports-ltd
531758, 28.76, --, --, --, 0.53, gkconsultants-ltd
530521, 36.88, 0.05, 22.37, 15.67, 7.35, virat-industries-ltd
526161, 38.99, 0.17, 11.51, 6.62, 15.15, spenta-international-ltd
526775, 42.69, --, --, --, 0.12, valiant-communications-ltd
514266, 43.91, 0.01, 25.10, 17.67, 15.83, zenith-fibres-ltd
539189, 44.00, 0.08, --, --, 0.36, adhbhut-infrastructure-ltd
538713, 48.32, 0.06, 22.56, 16.73, 5.36, atishay-infotech-ltd
524828, 50.98, 0.39, 13.56, 11.34, 6.61, bdh-industries-ltd
538964, 53.02, 0.32, 23.81, 18.26, 48.17, mercury-laboratories-ltd
590082, 53.75, 0.08, 11.38, 6.36, 5.82, lohia-securities-ltd
514354, 55.72, 0.48, 12.10, 9.87, 2.48, premier-polyfilm-ltd
533608, 55.98, 0.20, 15.01, 10.95, 1.44, rdb-rasayans-ltd
512634, 70.38, 0.47, 12.88, 7.69, 9.57, savera-industries-ltd
524654, 71.56, 0.12, 15.41, 12.05, 21.59, natural-capsules-ltd
531744, 79.41, 0.27, 12.19, 8.57, 4.23, gini-silk-mills-ltd
532053, 83.99, --, 36.13, 29.07, 30.26, wallfort-financial-services-ltd
538952, 97.21, --, 24.91, 16.56, 115.39, abhinav-leasing--finance-ltd
512493, 101.53, 0.02, --, --, 0.55, garnet-international-ltd
506879, 102.65, --, 111.26, -584.96, 4.33, gujarat-themis-biosyn-ltd
532172, 112.32, 0.26, --, --, 0.73, sphere-global-services-ltd
526315, 115.71, --, 18.83, 12.06, 8.61, divyashakti-granites-ltd
519457, 124.58, 0.06, 10.17, 6.01, 1.21, virat-crane-industries-ltd
590043, 125.32, 0.50, 17.73, 14.65, 13.50, harita-seating-systems-ltd
590031, 145.16, --, 15.34, 10.83, 9.38, de-nora-india-ltd
524774, 147.04, 0.34, 27.73, 25.38, 23.73, ngl-fine-chem-ltd
526263, 149.08, 0.28, 27.26, 21.72, 20.11, mold-tek-technologies-ltd
536264, 163.87, 0.30, 25.76, 19.58, 24.44, tiger-logistics-(india)-ltd
538540, 168.32, --, --, --, 0.01, ramchandra-leasing--finance-ltd
538595, 225.04, 0.31, 16.01, 11.12, 55.63, gloster-ltd
522029, 228.88, 0.43, 16.69, 13.25, 2.15, windsor-machines-ltd
531633, 275.49, 0.43, 16.00, 13.26, 14.17, lincoln-pharmaceuticals-ltd
531161, 277.93, --, 30.75, 20.26, 26.50, abm-knowledgeware-ltd
523828, 281.60, 0.39, 32.05, 27.05, 24.13, menon-bearings-ltd
532801, 285.04, --, --, --, 1.60, cambridge-technology-enterprises-ltd
500412, 286.89, 0.45, 24.04, 9.40, 43.47, thirumalai-chemicals-ltd
506685, 295.90, --, 28.15, 18.83, 10.08, ultramarine--pigments-ltd
538860, 296.47, --, --, --, 0.08, panafic-industrials-ltd
530843, 302.88, 0.09, 44.33, 31.85, 11.54, cupid-ltd
517344, 340.05, --, 10.66, 6.89, 7.44, mindteck-(india)-ltd
538834, 351.54, --, --, --, 0.13, meenakshi-enterprises-ltd
532790, 352.64, --, --, --, 1.09, tanla-solutions-ltd
532543, 365.05, 0.09, 10.26, 3.96, 2.84, gp-petroleums-limited
522295, 389.10, 0.08, 24.23, 18.95, 27.70, control-print-ltd
500052, 414.76, 0.37, 11.43, 4.78, 1.25, bhansali-engineering-polymers-ltd
532663, 529.60, --, --, --, 10.60, sasken-communication-technologies-ltd
505710, 531.62, 0.23, 22.14, 15.04, 3.26, grauer--weil-(india)-ltd
534312, 576.21, 0.04, 33.12, 22.13, 11.20, mt-educare-ltd
530299, 593.49, 0.17, 10.17, 6.64, 36.14, kothari-products-ltd
523660, 637.73, 0.12, 28.53, 19.89, 8.02, waterbase-ltd
530441, 641.25, --, --, --, 0.00, mahanivesh-(india)-ltd
