Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
532092, 0.18, --, --, --, -0.01, sagar-productions-limited
512441, 1.10, --, --, --, 31.11, enbee-trade--finance-ltd
530565, 1.81, --, --, --, 0.16, archana-software-ltd
590091, 2.39, 0.84, 31.30, 35.94, 2.64, trinethra-infra-ventures-ltd
531235, 2.66, --, 0.18, --, 0.02, citiport-financial-services-ltd
523862, 2.79, 0.66, 0.79, -3.92, 0.12, dhoot-industries-ltd
539353, 4.36, --, 14.11, 9.58, 15.58, swaraj-automotives-ltd
523062, 4.65, --, --, --, 0.95, jjfinance-corporation-ltd
531448, 5.86, --, 0.10, 0.07, -0.53, safal-securities-ltd
509835, 6.56, --, 52.67, -1.50, 11.46, premier-synthetics-ltd
538963, 6.57, 1.36, 8.43, 1.28, 3.25, pact-industries-ltd
519604, 7.37, --, --, --, -0.19, suryo-foods--industries-ltd
539300, 7.63, 1.39, 7.29, 1.17, 7.77, ak-spintex-ltd
505515, 8.12, --, -6.63, -6.79, -0.47, shyamkamal-investments-ltd
526445, 8.16, 0.08, --, --, -0.26, indrayani-biotech-ltd
513703, 9.33, --, -9.63, -11.64, 0.22, kumar-wire-cloth-manufacturing-company-ltd
590090, 9.52, 0.47, 3.12, 2.64, 2.55, swarnajyothi-agrotech--power-limited
519279, 9.82, 0.07, 0.43, 0.17, 0.30, madhur-industries-ltd
517288, 10.16, --, 6.55, 2.16, 0.56, gujarat-poly-avx-electronics-ltd
524582, 11.56, 3.03, 5.36, -9.80, 6.15, tirupati-starch--chemicals-ltd
507474, 12.07, 0.38, 7.41, 2.97, 2.92, kothari-fermentation--biochem-ltd
539201, 14.07, 1.82, 6.37, 8.58, 64.34, satia-industries-ltd
531626, 15.53, 0.46, -4.15, -8.45, 0.24, orosil-smiths-india-ltd
523620, 15.98, --, 2.03, 1.06, 1.40, phaarmasia-ltd
514448, 18.14, 2.20, 6.38, 5.05, 2.25, jyoti-resins--adhesives-ltd
538837, 19.15, 1.79, 13.62, 9.71, 1.75, jeevan-scientific-technology-ltd
531569, 19.49, 1.70, 6.19, -7.51, 9.09, sanjivani-paranteral-ltd
521036, 21.89, --, -1.04, -1.06, -0.05, source-industries-(india)-ltd
530919, 28.20, 1.58, 5.25, 0.25, 7.20, remsons-industries-ltd
526703, 28.37, 0.58, 13.19, 7.46, 18.93, ecoplast-ltd
526137, 29.94, 2.26, 13.76, 1.84, 27.76, shetron-ltd
539287, 30.12, 0.88, 12.03, 4.00, 3.83, ortin-laboratories-ltd
531215, 40.27, 1.01, 13.89, 1.40, 15.53, rts-power-corporation-ltd
514286, 49.89, --, -5.74, 4.46, -2.19, ashima-ltd
505590, 51.74, 0.76, --, --, 0.27, svp-global-ventures-ltd
537536, 53.08, 2.41, 9.96, 0.48, 10.29, denis-chem-lab-ltd
532878, 65.02, 0.33, 0.12, -1.61, 1.62, alpa-laboratories-ltd
533982, 66.94, 0.58, 11.23, 5.08, 13.53, tera-software-ltd
526608, 72.13, --, -21.21, 42.97, -255.12, electrotherm-(india)-ltd
