Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
512441, 1.10, --, --, --, 31.11, enbee-trade--finance-ltd
530565, 1.81, --, --, --, 0.16, archana-software-ltd
539353, 4.36, --, 14.11, 9.58, 15.58, swaraj-automotives-ltd
523062, 4.65, --, --, --, 0.95, jjfinance-corporation-ltd
509835, 6.56, --, 52.67, -1.50, 11.46, premier-synthetics-ltd
519457, 124.18, 0.06, 10.17, 6.01, 1.21, virat-crane-industries-ltd
526263, 149.08, 0.28, 27.26, 21.72, 20.11, mold-tek-technologies-ltd
536264, 155.42, 0.30, 25.76, 19.58, 24.44, tiger-logistics-(india)-ltd
530843, 272.43, 0.09, 44.33, 31.85, 11.54, cupid-ltd
532543, 273.53, 0.09, 10.26, 3.96, 2.84, gp-petroleums-limited
523828, 281.60, 0.39, 32.05, 27.05, 24.13, menon-bearings-ltd
532801, 285.04, --, --, --, 1.60, cambridge-technology-enterprises-ltd
532790, 334.88, --, --, --, 1.09, tanla-solutions-ltd
538834, 337.53, --, --, --, 0.13, meenakshi-enterprises-ltd
519602, 592.22, 0.20, 13.04, 10.86, 1.47, kellton-tech-solutions-ltd
523660, 637.73, 0.12, 28.53, 19.89, 8.02, waterbase-ltd
532890, 2394.14, --, --, --, 0.11, take-solutions-ltd
533088, 3491.31, 0.01, 17.23, 10.81, 20.43, mahindra-holidays--resorts-india-ltd
