Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
530565, 1.84, --, --, --, 0.16, archana-software-ltd
590091, 2.42, 0.84, 31.30, 35.94, 2.64, trinethra-infra-ventures-ltd
530443, 2.75, --, -9.20, -8.34, -0.51, kiran-syntex-ltd
523862, 2.82, 0.66, 0.79, -3.92, 0.12, dhoot-industries-ltd
507609, 4.82, 0.30, 73.50, 41.41, 70.42, olympic-oil-industries-ltd
531448, 5.97, --, 0.10, 0.07, -0.53, safal-securities-ltd
538963, 6.68, 1.36, 8.43, 1.28, 3.25, pact-industries-ltd
519604, 7.46, --, --, --, -0.19, suryo-foods--industries-ltd
539300, 7.92, 1.39, 7.29, 1.17, 7.77, ak-spintex-ltd
505515, 8.18, --, -6.63, -6.79, -0.47, shyamkamal-investments-ltd
511764, 8.51, --, 8.87, 6.75, 2.43, upasana-finance-ltd
513703, 9.60, --, -9.63, -11.64, 0.22, kumar-wire-cloth-manufacturing-company-ltd
507474, 12.31, 0.38, 7.41, 2.97, 2.92, kothari-fermentation--biochem-ltd
514474, 13.16, 2.35, 13.99, 13.06, 16.80, fair-deal-filaments-ltd
539201, 14.77, 1.82, 6.37, 8.58, 64.34, satia-industries-ltd
523620, 16.28, --, 2.03, 1.06, 1.40, phaarmasia-ltd
512279, 16.37, --, --, --, -0.31, n2n-technologies-limited
514448, 18.30, 2.20, 6.38, 5.05, 2.25, jyoti-resins--adhesives-ltd
505690, 18.61, --, 5.04, 22.78, 10.83, brady--morris-engineering-coltd
531489, 19.23, 0.01, 15.67, 11.50, 3.18, cg-vak-software--exports-ltd
521036, 20.81, --, -1.04, -1.06, -0.05, source-industries-(india)-ltd
530919, 26.82, 1.58, 5.25, 0.25, 7.20, remsons-industries-ltd
539287, 27.75, 0.88, 12.03, 4.00, 3.83, ortin-laboratories-ltd
526137, 29.62, 2.26, 13.76, 1.84, 27.76, shetron-ltd
531869, 41.19, 0.42, 2.94, 1.24, 1.88, sacheta-metals-ltd
539189, 44.00, 0.08, --, --, 0.36, adhbhut-infrastructure-ltd
506854, 50.37, --, 3.27, 1530.19, 7.57, tanfac-industries-ltd
514286, 51.39, --, -5.74, 4.46, -2.19, ashima-ltd
