Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
532092, 0.39, --, --, --, -0.01, sagar-productions-limited
511024, 0.64, --, --, --, 0.88, subway-finance--investment-coltd
522036, 1.91, --, 419.72, 25.93, -3.47, miven-machine-tools-ltd
523862, 2.93, 0.66, 0.79, -3.92, 0.12, dhoot-industries-ltd
530697, 3.59, 0.01, --, --, -0.14, neelkanth-technologies-ltd
532354, 4.50, --, 7.02, 3.24, 0.02, virgo-global-media-limited
531762, 4.87, 1.02, 23.54, 44.46, 0.42, unjha-formulations-ltd
531917, 5.22, 0.24, 3.52, 2.47, 1.14, twinstar-industries-limited
507609, 5.29, 0.30, 73.50, 41.41, 70.42, olympic-oil-industries-ltd
524624, 5.29, 0.55, 8.19, 11.12, 0.19, gagan-gases-ltd
512413, 7.10, 0.03, --, --, -0.02, spectacle-ventures-ltd
523021, 7.12, 0.73, 11.72, 9.30, 7.56, rishi-techtex-ltd
539121, 7.16, 0.39, --, --, -0.26, palco-metals-ltd
526628, 8.21, 2.26, -5.11, -17.89, 0.48, ajwa-fun-world--resort-ltd
513703, 9.58, --, -9.63, -11.64, 0.22, kumar-wire-cloth-manufacturing-company-ltd
507506, 11.25, 2.50, 16.96, 31.28, 2.98, girdharilal-sugar--allied-industries-ltd
526001, 11.80, 0.11, 24.18, 27.62, 5.76, jauss-polymers-ltd
524582, 12.70, 3.03, 5.36, -9.80, 6.15, tirupati-starch--chemicals-ltd
531236, 14.97, 0.39, 13.93, 11.87, 10.74, mewar-polytex-ltd
539300, 16.15, 1.39, 7.29, 1.17, 7.77, ak-spintex-ltd
532386, 16.51, --, --, --, -4.60, california-software-coltd
532879, 16.85, --, -53.19, 58.40, -83.66, sir-shadi-lal-enterprises-ltd
532730, 17.54, --, 15.25, 28.60, 0.02, stl-global-ltd
514448, 19.02, 2.20, 6.38, 5.05, 2.25, jyoti-resins--adhesives-ltd
532455, 20.72, --, -9.14, 0.22, 3.92, shalimar-wires-industries-ltd
532993, 34.79, 0.63, -22.95, -76.73, -10.07, sezal-glass-limited
514332, 38.29, --, 0.61, 0.15, 0.07, neo-infracon-ltd
526161, 38.99, 0.17, 11.51, 6.62, 15.15, spenta-international-ltd
501421, 41.35, 0.23, -0.08, 0.03, 0.25, technvision-ventures-ltd
513151, 43.24, --, -4.94, 19.93, -0.47, sti-india-ltd
526747, 44.48, 1.21, 7.64, 4.75, 13.18, pg-foils-ltd
524202, 44.54, 2.04, 7.24, 3.14, 6.08, lactose-(india)-ltd
524412, 44.56, 0.31, 6.23, 3.07, 0.81, aarey-drugs--pharmaceuticals-ltd
532673, 48.67, 7.17, 16.28, 43.07, 3.29, kmsugar-mills-ltd
526179, 49.56, 0.61, -20.21, -12.07, -5.25, ludlow-jute--specialities-ltd
517411, 51.90, 0.02, -5.69, -254.50, -1.42, shyam-telecom-ltd
538964, 53.02, 0.32, 23.81, 18.26, 48.17, mercury-laboratories-ltd
505590, 53.89, 0.76, --, --, 0.27, svp-global-ventures-ltd
514354, 56.56, 0.48, 12.10, 9.87, 2.48, premier-polyfilm-ltd
517522, 62.36, 0.74, 13.05, 7.79, 47.54, rajratan-global-wire-ltd
532651, 63.95, 0.19, 2.01, 1.84, 1.42, spl-industries-ltd
524037, 66.37, 0.49, -1.95, -8.44, -0.55, rama-phosphates-ltd
539400, 72.70, 1.01, 12.96, 11.04, 25.46, mallcom-(india)-ltd
532384, 72.78, 0.18, 7.70, 4.40, 6.90, tyche-industries-ltd
531739, 81.47, 0.15, 4.50, 2.56, 0.16, gennex-laboratories-ltd
532053, 83.36, --, 36.13, 29.07, 30.26, wallfort-financial-services-ltd
526315, 115.71, --, 18.83, 12.06, 8.61, divyashakti-granites-ltd
590043, 125.32, 0.50, 17.73, 14.65, 13.50, harita-seating-systems-ltd
526829, 144.43, 0.28, 1.71, -11.86, 1.21, confidence-petroleum-india-ltd
513532, 146.80, 1.92, 13.41, 21.22, 8.64, pradeep-metals-ltd
590031, 147.93, --, 15.34, 10.83, 9.38, de-nora-india-ltd
538706, 150.13, 2.51, 16.79, 13.25, 15.50, ultracab-(india)-ltd
518011, 188.55, 2.46, 17.36, 60.94, 31.99, keerthi-industries-ltd
532934, 191.80, 0.34, 8.62, 6.05, 28.83, ppap-automotive-limited
538595, 218.23, 0.31, 16.01, 11.12, 55.63, gloster-ltd
530307, 250.00, 0.63, 27.66, 24.48, 38.79, chaman-lal-setia-exports-ltd
512229, 323.06, 0.17, 9.55, 7.81, 2.17, veritas-(india)-ltd
523768, 324.67, 2.76, 6.50, 3.80, 3.22, gujarat-borosil-ltd
532646, 342.47, 4.06, 12.55, 2.55, 6.57, uniply-industries-ltd
538834, 353.40, --, --, --, 0.13, meenakshi-enterprises-ltd
514010, 360.09, 2.14, 7.63, -6.43, 0.77, himachal-fibres-ltd
532543, 361.99, 0.09, 10.26, 3.96, 2.84, gp-petroleums-limited
524174, 414.60, 0.52, 27.26, 37.99, 9.98, kesar-petroproducts-ltd
532320, 463.57, 0.18, --, --, -0.01, vaarad-ventures-ltd
536170, 515.46, 1.05, 12.97, 7.99, 6.50, kushal-tradelink-ltd
500097, 573.45, 1.79, 6.16, 0.32, 13.95, dalmia-bharat-sugar-and-industries-ltd
530299, 606.83, 0.17, 10.17, 6.64, 36.14, kothari-products-ltd
530441, 641.25, --, --, --, 0.00, mahanivesh-(india)-ltd
532382, 775.35, --, 3.56, 2.85, 1.95, balaji-telefilms-ltd
507488, 842.23, 0.21, 21.01, 14.76, 30.12, gmbreweries-ltd
509557, 852.32, 0.10, 20.71, 13.89, 36.30, garware-wall-ropes-ltd
539289, 856.62, --, 6.20, 6.67, 2794.58, majesco-ltd
532497, 1428.84, 0.90, 11.35, 8.24, 12.81, radico-khaitan-ltd
500266, 1688.29, --, 21.70, 21.70, -4.37, maharashtra-scooters-ltd
532504, 1739.76, 0.08, 11.57, 8.64, 64.81, navin-fluorine-international-limited
500227, 2385.16, 0.33, 13.77, 10.51, 67.22, jindal-poly-films-ltd
532767, 2520.52, 2.52, 7.65, 3.23, 68.67, gayatri-projects-ltd
532526, 3281.15, 0.61, 12.82, 7.00, 18.48, dishman-pharmaceuticals--chemicals-ltd
500003, 3577.14, 0.25, 21.79, 26.66, 19.11, aegis-logistics-ltd
532689, 4087.49, 1.70, 8.55, 3.41, 44.89, pvr-ltd
530019, 6806.08, 1.07, 6.83, 10.54, 17.34, jubilant-life-sciences-limited
