Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
500271, 00, --, 13.58, 11.31, 17.66, max-india-ltd
509835, 6.92, --, 52.67, -1.50, 11.46, premier-synthetics-ltd
531980, 11.92, --, --, --, 0.01, senthil-infotek-ltd
531758, 44.33, --, --, --, 0.53, gkconsultants-ltd
524654, 81.34, 0.12, 15.41, 12.05, 21.59, natural-capsules-ltd
511630, 93.07, 0.40, 10.02, 8.37, 0.49, sambhaav-media-ltd
538743, 116.05, --, --, --, 3.38, green-field-agri-ventures-ltd
512493, 119.83, 0.02, --, --, 0.55, garnet-international-ltd
522257, 124.77, 0.12, 20.82, 15.42, 1.82, rajoo-engineers-ltd
523539, 191.40, 0.19, 13.99, 5.40, 40.94, precision-wires-india-ltd
506685, 318.95, --, 28.15, 18.83, 10.08, ultramarine--pigments-ltd
526397, 349.21, 0.01, 25.68, 24.22, 34.50, alphageo-(india)-ltd
526817, 355.71, 0.05, 13.88, 11.92, 59.90, cheviot-coltd
517344, 363.24, --, 10.66, 6.89, 7.44, mindteck-(india)-ltd
522295, 487.93, 0.08, 24.23, 18.95, 27.70, control-print-ltd
532663, 625.16, --, --, --, 10.60, sasken-communication-technologies-ltd
526725, 638.10, 0.02, 19.45, 12.58, 127.81, sandesh-ltd
516064, 892.24, --, --, --, 7.75, arrow-coated-products-ltd
517080, 906.27, 0.01, 23.87, 15.41, 16.27, high-ground-enterprise-ltd
533121, 919.40, 0.09, 32.19, 21.78, 31.47, sqs-india-bfsi-limited
532539, 1312.06, 0.29, 16.50, 14.38, 71.49, minda-industries-ltd
538268, 2206.63, 0.03, 20.30, 14.20, 14.26, wonderla-holidays-ltd
532890, 2409.44, --, --, --, 0.11, take-solutions-ltd
501455, 3801.08, --, 21.69, 9.99, 8.18, greaves-cotton-ltd
