Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
531436, 4.53, --, 12.56, -16.42, 4.46, saffron-industries-limited
531553, 5.56, --, --, --, 0.25, arihant-avenues--credit-ltd
507609, 5.82, 0.30, 73.50, 41.41, 70.42, olympic-oil-industries-ltd
509835, 8.09, --, 52.67, -1.50, 11.46, premier-synthetics-ltd
538794, 14.16, 0.18, 13.85, 9.60, 7.33, jet-infraventure-ltd
514302, 15.47, 0.38, 16.39, 12.57, 13.16, vippy-spinpro-ltd
530459, 29.11, 0.29, 13.39, 9.02, 6.79, valson-industries-ltd
533056, 37.28, --, --, --, 8.67, vedavaag-systems-ltd
530521, 44.53, 0.05, 22.37, 15.67, 7.35, virat-industries-ltd
531712, 58.97, 0.03, 29.68, 18.31, 4.75, trilogic-digital-media-ltd
524828, 60.31, 0.39, 13.56, 11.34, 6.61, bdh-industries-ltd
524654, 89.64, 0.12, 15.41, 12.05, 21.59, natural-capsules-ltd
511630, 92.78, 0.40, 10.02, 8.37, 0.49, sambhaav-media-ltd
530589, 107.69, 0.08, 11.74, 8.11, 3.95, prima-plastics-ltd
531744, 117.84, 0.27, 12.19, 8.57, 4.23, gini-silk-mills-ltd
538743, 123.94, --, --, --, 3.38, green-field-agri-ventures-ltd
526315, 129.17, --, 18.83, 12.06, 8.61, divyashakti-granites-ltd
523537, 131.40, 0.09, 24.55, 16.55, 14.31, apm-industries-ltd
522257, 132.31, 0.12, 20.82, 15.42, 1.82, rajoo-engineers-ltd
500343, 164.00, 0.41, 12.85, 11.17, 6.87, pudumjee-pulp--paper-mills-ltd
524774, 164.64, 0.34, 27.73, 25.38, 23.73, ngl-fine-chem-ltd
526263, 165.86, 0.28, 27.26, 21.72, 20.11, mold-tek-technologies-ltd
532737, 206.87, 0.19, 17.78, -14.95, 9.41, emkay-global-financial-services-ltd
539301, 222.35, 0.22, 15.31, 8.69, 2.35, arvind-infrastructure-ltd
538595, 238.02, 0.31, 16.01, 11.12, 55.63, gloster-ltd
506194, 256.84, 0.50, 16.66, 13.13, 3.14, arihant-superstructures-limited
524280, 293.27, 0.21, 13.47, 9.50, 7.69, kopran-ltd
531633, 314.80, 0.43, 16.00, 13.26, 14.17, lincoln-pharmaceuticals-ltd
506685, 334.27, --, 28.15, 18.83, 10.08, ultramarine--pigments-ltd
526397, 360.06, 0.01, 25.68, 24.22, 34.50, alphageo-(india)-ltd
532790, 394.76, --, --, --, 1.09, tanla-solutions-ltd
517344, 411.63, --, 10.66, 6.89, 7.44, mindteck-(india)-ltd
504879, 429.50, 0.16, 10.99, 7.92, 2.47, orient-abrasives-ltd
526817, 435.45, 0.05, 13.88, 11.92, 59.90, cheviot-coltd
500214, 488.86, 0.21, 18.36, 11.86, 34.73, ion-exchange-(india)-ltd
523648, 523.81, 0.13, 26.09, 19.06, 39.09, plastiblends-india-ltd
505710, 699.39, 0.23, 22.14, 15.04, 3.26, grauer--weil-(india)-ltd
532663, 727.58, --, --, --, 10.60, sasken-communication-technologies-ltd
590005, 1523.90, --, --, --, 1028.55, tide-water-oil-(india)-ltd
533217, 2090.25, 0.13, 23.72, 19.06, 22.68, hindustan-media-ventures-ltd
500163, 7115.11, 0.16, 19.37, 14.16, 69.24, godfrey-phillips-india-ltd
532522, 17486.25, 0.42, 15.85, 15.51, 19.19, petronet-lng-ltd
