Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
532092, 0.45, --, --, --, -0.01, sagar-productions-limited
511024, 0.69, --, --, --, 0.88, subway-finance--investment-coltd
531658, 0.91, --, --, --, 0.02, trijal-industries-ltd
530057, 1.02, 3.79, --, --, -0.14, ivee-injectaa-ltd
511634, 1.26, --, --, --, -0.16, dugar-housing-developments-ltd
530179, 1.54, --, --, --, 0.02, rsc-international-ltd
507759, 2.01, --, -38.84, -2.59, -2.94, lime-chemicals-ltd
531067, 2.65, --, --, --, -0.24, contil-india-ltd
530443, 2.83, --, -9.20, -8.34, -0.51, kiran-syntex-ltd
512165, 2.89, 0.09, --, --, -0.63, matru-smriti-traders-ltd
532041, 3.29, 0.14, -17.99, -21.06, -1.20, hindustan-bio-sciences-ltd
533048, 3.62, 0.21, -0.22, -0.27, -0.10, gi-engineering-solutions-ltd
523862, 3.76, 0.66, 0.79, -3.92, 0.12, dhoot-industries-ltd
530697, 4.34, 0.01, --, --, -0.14, neelkanth-technologies-ltd
519285, 4.43, --, -29.66, -32.40, -0.08, tarai-foods-ltd
530815, 4.55, 5.02, 10.02, -50.48, 1.54, refnol-resins--chemicals-ltd
512604, 4.61, 0.01, --, --, -0.22, haria-exports-ltd
531436, 4.65, --, 12.56, -16.42, 4.46, saffron-industries-limited
508961, 4.90, 0.49, --, --, -0.41, shricon-industries-ltd
532817, 5.38, 1.21, -12.12, -46.65, -5.27, oriental-trimex-ltd
514272, 6.56, --, --, --, -0.29, bhilwara-spinners-ltd
507609, 6.72, 0.30, 73.50, 41.41, 70.42, olympic-oil-industries-ltd
538882, 7.06, --, --, --, 0.44, emerald-leasing-finance--investment-company-ltd
531341, 8.11, --, --, --, 0.03, gujarat-investa-ltd
531227, 8.32, 0.95, 14.11, 11.08, 8.41, deco-mica-ltd
509835, 8.49, --, 52.67, -1.50, 11.46, premier-synthetics-ltd
530401, 8.53, 0.53, 16.19, 14.13, 6.22, vinyoflex-ltd
524590, 8.84, 0.04, --, --, -0.18, hemo-organic-limited
538963, 8.87, 1.36, 8.43, 1.28, 3.25, pact-industries-ltd
526479, 9.09, 0.93, 8.52, -7.03, 6.65, sky-industries-ltd
526799, 9.77, --, -7.61, 28.95, -1.78, union-quality-plastics-ltd
522152, 9.95, 0.10, 10.81, 6.07, 4.60, solitaire-machine-tools-ltd
519604, 9.96, --, --, --, -0.19, suryo-foods--industries-ltd
502587, 10.07, 0.21, 11.57, 7.14, 5.55, rama-pulp--papers-ltd
539392, 10.20, --, --, --, 0.05, sang-froid-labs-(india)-ltd
505515, 10.57, --, -6.63, -6.79, -0.47, shyamkamal-investments-ltd
511742, 10.81, --, --, --, -1.05, chokhani-securities-ltd
530617, 11.42, 0.44, 5.98, 2.49, 3.78, sampre-nutritions-ltd
590116, 12.46, 10.48, --, --, -15.42, 7seas-technologies-ltd
530233, 13.49, 2.13, 9.76, 10.43, 4.54, auro-laboratories-ltd
530609, 13.64, 2.11, 16.41, 8.62, 21.20, carnation-industries-ltd
504132, 14.79, 1.69, 12.92, 3.82, 5.21, permanent-magnets-ltd
523676, 15.67, 1.59, 12.40, 9.18, 10.55, golkunda-diamonds--jewellery-ltd
530151, 16.15, 4.01, 0.32, -37.14, 8.08, vijay-textiles-ltd
534707, 16.21, 0.59, -7.58, -8.77, -1.32, anshus-clothing-ltd
507506, 17.02, 2.50, 16.96, 31.28, 2.98, girdharilal-sugar--allied-industries-ltd
539300, 18.24, 1.39, 7.29, 1.17, 7.77, ak-spintex-ltd
531236, 18.52, 0.39, 13.93, 11.87, 10.74, mewar-polytex-ltd
532905, 18.66, 0.13, -2.26, -2.36, 0.10, saamya-biotech-(india)-ltd
539409, 19.69, 2.69, 12.00, 2.39, 10.07, neeraj-paper-marketing-ltd
504646, 20.02, 0.32, -11.37, -13.77, 0.60, bhagwati-autocast-ltd
524699, 21.13, --, -0.35, 0.39, -0.43, kilburn-chemicals-ltd
530621, 22.22, 1.31, 12.27, 5.15, 17.27, akar-tools-ltd
526971, 22.55, 0.60, 10.79, 10.23, 10.45, dhoot-industrial-finance-ltd
503349, 23.50, --, --, --, -134.02, victoria-mills-ltd
531609, 27.46, 3.10, 10.98, 8.11, 40.68, kg-petrochem-ltd
532946, 28.68, 0.65, -0.80, -9.03, -0.68, bang-overseas-ltd
532330, 28.89, 1.36, 5.44, 4.35, 4.29, biopac-india-corporation-ltd
531127, 28.90, 0.01, -19.08, -13.47, -1.03, anar-industries-ltd
531613, 30.59, 0.14, 2.44, 0.79, 0.04, givo-ltd
531569, 31.35, 1.70, 6.19, -7.51, 9.09, sanjivani-paranteral-ltd
530459, 32.83, 0.29, 13.39, 9.02, 6.79, valson-industries-ltd
532329, 33.65, --, 5.13, 4.10, 0.63, danlaw-technologies-india-ltd
531842, 34.42, 1.08, 10.06, 8.12, 3.97, lahoti-overseas-ltd
524218, 34.92, 0.20, 5.19, 8.09, 1.08, resonance-specialties-ltd
532972, 35.65, 0.47, 9.72, 2.08, 13.46, sankhya-infotech-ltd
526137, 36.64, 2.26, 13.76, 1.84, 27.76, shetron-ltd
511076, 37.00, 0.62, -26.87, -277.48, -0.57, sat-industries-ltd
520073, 37.74, 0.95, 20.03, 11.95, 15.89, raunaq-automotive-components-ltd
517477, 38.58, 0.09, 16.41, 11.87, 28.91, elnet-technologies-ltd
531624, 40.74, 0.01, 6.14, 10.50, 0.16, country-condos-ltd
533056, 40.96, --, --, --, 8.67, vedavaag-systems-ltd
531146, 44.21, 1.19, 7.85, 2.60, 4.13, medicamen-biotech-ltd
500418, 46.98, 0.43, 11.03, 7.26, 7.53, tokyo-plast-international-ltd
539447, 47.82, 0.91, 7.35, -0.30, 12.58, beardsell-ltd
513472, 48.87, 0.81, 11.65, 1.56, 38.51, simplex-castings-ltd
530821, 49.58, 0.23, 9.83, 6.89, 3.87, sspdl-ltd
500220, 50.53, 0.47, 14.98, 9.88, 7.80, jasch-industries-ltd
526616, 52.40, 1.47, 10.45, 5.55, 8.01, national-plastic-industries-ltd
526747, 52.43, 1.21, 7.64, 4.75, 13.18, pg-foils-ltd
524202, 52.66, 2.04, 7.24, 3.14, 6.08, lactose-(india)-ltd
530695, 54.00, --, --, --, 2.84, prime-property-development-corporation-ltd
506910, 55.18, --, 13.70, 8.77, 9.43, jaysynth-dyestuff-(india)-ltd
505827, 57.46, 0.37, 48.72, 20.58, 20.97, snl-bearings-ltd
514266, 57.93, 0.01, 25.10, 17.67, 15.83, zenith-fibres-ltd
530521, 58.12, 0.05, 22.37, 15.67, 7.35, virat-industries-ltd
539287, 58.78, 0.88, 12.03, 4.00, 3.83, ortin-laboratories-ltd
531726, 64.20, 0.34, 13.87, 10.26, 9.57, panchsheel-organics-ltd
524828, 65.35, 0.39, 13.56, 11.34, 6.61, bdh-industries-ltd
526179, 66.85, 0.61, -20.21, -12.07, -5.25, ludlow-jute--specialities-ltd
532951, 66.90, 0.04, 5.80, -81.67, 5.27, gss-infotech-ltd
533316, 67.18, --, --, --, -0.18, stel-holdings limited
531712, 67.73, 0.03, 29.68, 18.31, 4.75, trilogic-digital-media-ltd
538964, 69.57, 0.32, 23.81, 18.26, 48.17, mercury-laboratories-ltd
533170, 71.57, --, 9.60, 8.15, 1.17, tamboli-capital-ltd
537536, 72.02, 2.41, 9.96, 0.48, 10.29, denis-chem-lab-ltd
532373, 74.19, 0.38, 9.69, 5.28, 4.34, wep-solutions-ltd
538795, 75.96, 0.38, 13.79, 9.41, 36.20, shree-ajit-pulp-and-paper-ltd
532806, 76.37, 1.55, 3.14, -5.67, 2.71, ai-champdany-industries-ltd
517522, 77.20, 0.74, 13.05, 7.79, 47.54, rajratan-global-wire-ltd
526775, 79.46, --, --, --, 0.12, valiant-communications-ltd
532372, 83.55, 0.18, 5.04, 4.08, 7.41, virinchi-technologies-ltd
531761, 84.18, 0.03, 6.60, 2.23, 1.29, amulya-leasing--finance-ltd
530721, 93.32, 1.68, 5.01, -7.14, 11.49, ang-industries-limited
500356, 95.96, --, -21.15, 502.67, -6.31, shree-rama-newsprint-ltd
537524, 97.76, --, --, --, -0.84, hindusthan-safety-glass-industries-ltd
531363, 98.38, 1.73, 10.10, 2.43, 45.10, karur-kcppackkagings-ltd
500153, 98.65, --, 2.90, -0.09, 4.46, ganesh-benzoplast-ltd
531921, 102.87, 0.85, 15.18, 13.42, 28.68, agarwal-industrial-corporation-ltd
531129, 109.82, 0.59, 22.04, 16.18, 44.07, inani-marbles--industries-ltd
526423, 112.35, 0.74, 18.60, 5.19, 3.88, kriti-industries-(india)-ltd
507789, 113.70, 0.45, 4.83, 1.33, 3.33, jagsonpal-pharmaceuticals-ltd
532937, 117.20, 1.51, 16.13, 17.20, 72.56, kuantum-papers-ltd
524324, 118.14, 2.86, 5.86, 20.00, 30.42, seya-industries-ltd
531744, 120.97, 0.27, 12.19, 8.57, 4.23, gini-silk-mills-ltd
514300, 123.48, 0.81, 12.00, 1.85, 14.24, pioneer-embroideries-ltd
530589, 127.71, 0.08, 11.74, 8.11, 3.95, prima-plastics-ltd
506248, 130.67, 1.43, 23.04, 20.26, 8.04, amines--plasticizers-ltd
526951, 133.67, 1.80, 15.26, 21.32, 30.41, stylam-industries-limited
512493, 133.84, 0.02, --, --, 0.55, garnet-international-ltd
522108, 136.08, 0.60, 5.39, 1.32, 24.48, yuken-india-ltd
505358, 138.18, 1.37, 1.36, -0.10, -0.03, integra-engineering-india-ltd
507779, 143.90, 1.26, 20.85, 20.68, 32.73, kanpur-plastipack-ltd
522257, 143.92, 0.12, 20.82, 15.42, 1.82, rajoo-engineers-ltd
532878, 144.02, 0.33, 0.12, -1.61, 1.62, alpa-laboratories-ltd
517536, 147.64, 0.26, 9.27, 4.08, 6.25, onward-technologies-ltd
500240, 150.04, --, -15.06, -31.23, -11.34, kinetic-engineering-ltd
