Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
511024, 0.69, --, --, --, 0.88, subway-finance--investment-coltd
531658, 0.91, --, --, --, 0.02, trijal-industries-ltd
530179, 1.54, --, --, --, 0.02, rsc-international-ltd
531436, 4.65, --, 12.56, -16.42, 4.46, saffron-industries-limited
507609, 6.72, 0.30, 73.50, 41.41, 70.42, olympic-oil-industries-ltd
538882, 7.06, --, --, --, 0.44, emerald-leasing-finance--investment-company-ltd
531341, 8.11, --, --, --, 0.03, gujarat-investa-ltd
509835, 8.49, --, 52.67, -1.50, 11.46, premier-synthetics-ltd
522152, 9.95, 0.10, 10.81, 6.07, 4.60, solitaire-machine-tools-ltd
502587, 10.07, 0.21, 11.57, 7.14, 5.55, rama-pulp--papers-ltd
539392, 10.20, --, --, --, 0.05, sang-froid-labs-(india)-ltd
531236, 18.52, 0.39, 13.93, 11.87, 10.74, mewar-polytex-ltd
530459, 32.83, 0.29, 13.39, 9.02, 6.79, valson-industries-ltd
517477, 38.58, 0.09, 16.41, 11.87, 28.91, elnet-technologies-ltd
533056, 40.96, --, --, --, 8.67, vedavaag-systems-ltd
500418, 46.98, 0.43, 11.03, 7.26, 7.53, tokyo-plast-international-ltd
500220, 50.53, 0.47, 14.98, 9.88, 7.80, jasch-industries-ltd
530695, 54.00, --, --, --, 2.84, prime-property-development-corporation-ltd
506910, 55.18, --, 13.70, 8.77, 9.43, jaysynth-dyestuff-(india)-ltd
505827, 57.46, 0.37, 48.72, 20.58, 20.97, snl-bearings-ltd
514266, 57.93, 0.01, 25.10, 17.67, 15.83, zenith-fibres-ltd
530521, 58.12, 0.05, 22.37, 15.67, 7.35, virat-industries-ltd
531726, 64.20, 0.34, 13.87, 10.26, 9.57, panchsheel-organics-ltd
524828, 65.35, 0.39, 13.56, 11.34, 6.61, bdh-industries-ltd
531712, 67.73, 0.03, 29.68, 18.31, 4.75, trilogic-digital-media-ltd
538964, 69.57, 0.32, 23.81, 18.26, 48.17, mercury-laboratories-ltd
538795, 75.96, 0.38, 13.79, 9.41, 36.20, shree-ajit-pulp-and-paper-ltd
526775, 79.46, --, --, --, 0.12, valiant-communications-ltd
531744, 120.97, 0.27, 12.19, 8.57, 4.23, gini-silk-mills-ltd
530589, 127.71, 0.08, 11.74, 8.11, 3.95, prima-plastics-ltd
512493, 133.84, 0.02, --, --, 0.55, garnet-international-ltd
522257, 143.92, 0.12, 20.82, 15.42, 1.82, rajoo-engineers-ltd
516108, 164.85, 0.13, 18.36, 12.48, 19.48, south-india-paper-mills-ltd
526263, 173.09, 0.28, 27.26, 21.72, 20.11, mold-tek-technologies-ltd
524774, 191.52, 0.34, 27.73, 25.38, 23.73, ngl-fine-chem-ltd
523539, 204.70, 0.19, 13.99, 5.40, 40.94, precision-wires-india-ltd
538540, 210.79, --, --, --, 0.01, ramchandra-leasing--finance-ltd
519183, 222.97, 0.04, 10.90, 8.30, 9.27, adf-foods-ltd
524075, 237.36, 0.30, 18.99, 14.75, 64.10, albert-david-ltd
522029, 239.92, 0.43, 16.69, 13.25, 2.15, windsor-machines-ltd
524280, 321.22, 0.21, 13.47, 9.50, 7.69, kopran-ltd
504959, 436.40, --, 28.77, 19.26, 76.88, stovec-industries-ltd
532790, 447.53, --, --, --, 1.09, tanla-solutions-ltd
504879, 482.15, 0.16, 10.99, 7.92, 2.47, orient-abrasives-ltd
500214, 514.16, 0.21, 18.36, 11.86, 34.73, ion-exchange-(india)-ltd
509162, 585.11, --, 33.02, 25.45, 77.82, indag-rubber-ltd
500730, 909.25, 0.30, 18.93, 13.72, 6.96, nocil-ltd
517080, 921.98, 0.01, 23.87, 15.41, 16.27, high-ground-enterprise-ltd
533121, 1029.78, 0.09, 32.19, 21.78, 31.47, sqs-india-bfsi-limited
500148, 1419.68, 0.38, 11.68, 8.41, 51.88, uflex-ltd
532522, 17868.75, 0.42, 15.85, 15.51, 19.19, petronet-lng-ltd
