Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id,,PE,Comment
519457,124.18,0.06,10.17,6.01,1.21, virat-crane-industries-ltd,,,
526263,149.08,0.28,27.26,21.72,20.11, mold-tek-technologies-ltd,,,
536264,155.42,0.3,25.76,19.58,24.44, tiger-logistics-(india)-ltd,****,,
530843,272.43,0.09,44.33,31.85,11.54, cupid-ltd,,,
523828,281.6,0.39,32.05,27.05,24.13, menon-bearings-ltd,*,,
532801,285.04, --, --, --,1.6, cambridge-technology-enterprises-ltd,*,,
519602,592.22,0.2,13.04,10.86,1.47, kellton-tech-solutions-ltd,*,,
523660,637.73,0.12,28.53,19.89,8.02, waterbase-ltd,*,,
532890,2394.14, --, --, --,0.11, take-solutions-ltd,,,
533088,3491.31,0.01,17.23,10.81,20.43, mahindra-holidays--resorts-india-ltd,,,
506685,272.26, --,28.15,18.83,10.08, ultramarine--pigments-ltd,*,,
531489,19.23,0.01,15.67,11.5,3.18, cg-vak-software--exports-ltd,*,,
506943,2550.96,0.1,14.78,11.17,22.75, jbchemicals--pharmaceuticals-ltd,,,
504067,4384.41, --,32.98,23.76,60.14, zensar-technologies-ltd,*,,
500233,6922.94,0.11,31.81,23.31,36, kajaria-ceramics-ltd,,,
500163,3678.31,0.16,19.37,14.16,69.24, godfrey-phillips-india-ltd,,,
531161,277.33, --,30.75,20.26,26.5, abm-knowledgeware-ltd,,,
534312,576.21,0.04,33.12,22.13,11.2, mt-educare-ltd,,,
526161,34.09,0.17,11.51,6.62,15.15, spenta-international-ltd,,,
531744,72.7,0.27,12.19,8.57,4.23, gini-silk-mills-ltd,,,
506879,95.53, --,111.26,-584.96,4.33, gujarat-themis-biosyn-ltd,*,,
516064,762.86, --, --, --,7.75, arrow-coated-products-ltd,**,,
500123,1138.81, --,33.33,23.3,53.17, elantas-beck-india-ltd,,,
533217,2098.33,0.13,23.72,19.06,22.68, hindustan-media-ventures-ltd,,,
506076,4495.51, --,24.32,16.46,29.82, grindwell-norton-ltd,,,
533206,11623.92,0.24,17.73,16.43,5.9, sjvn-ltd,,,
532321,44072.12,0.28,26.04,28.08,74.93, cadila-healthcare-ltd,,,
500124,73881.03,0.29,15.43,15.79,140.34, drreddys-laboratories-ltd,,,
531236,13.18,0.39,13.93,11.87,10.74, mewar-polytex-ltd,,,
526299,8786.19,0.03,17.66,13.65,28.96, mphasis-ltd,,,
514266,42.87,0.01,25.1,17.67,15.83, zenith-fibres-ltd,***,,
524828,47.21,0.39,13.56,11.34,6.61, bdh-industries-ltd,*,,
522029,218.5,0.43,16.69,13.25,2.15, windsor-machines-ltd,,,
507488,612.6,0.21,21.01,14.76,30.12, gmbreweries-ltd,,,
532927,5649.96, --, --, --,87.9, eclerx-services-ltd,,,
532531,7894.43,0.22,10.26,36.1,22.46, strides-arcolab-ltd,,,
524774,153.21,0.34,27.73,25.38,23.73, ngl-fine-chem-ltd,,,
538595,171.92,0.31,16.01,11.12,55.63, gloster-ltd,,,
522295,389.1,0.08,24.23,18.95,27.7, control-print-ltd,,,
505710,537.29,0.23,22.14,15.04,3.26, grauer--weil-(india)-ltd,,,
531633,275.49,0.43,16,13.26,14.17, lincoln-pharmaceuticals-ltd,,,
590031,130.93, --,15.34,10.83,9.38, de-nora-india-ltd,,,
500674,10471.28, --,20.67,17.78,147.14, sanofi-india-ltd,,,
538964,51.98,0.32,23.81,18.26,48.17, mercury-laboratories-ltd,,,
524654,71.56,0.12,15.41,12.05,21.59, natural-capsules-ltd,,,
530843,302.88,0.09,44.33,31.85,11.54, cupid-ltd,,,
526001,11.56,0.11,24.18,27.62,5.76, jauss-polymers-ltd,,,
590043,125.32,0.5,17.73,14.65,13.5, harita-seating-systems-ltd,,,
538922,19.69,0.2,12.63,17.95,3.61, css-technergy-ltd,*,,
504959,405.08, --,28.77,19.26,76.88, stovec-industries-ltd,**,,
