Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
531658, 0.76, --, --, --, 0.02, trijal-industries-ltd
512441, 1.20, --, --, --, 31.11, enbee-trade--finance-ltd
530565, 2.00, --, --, --, 0.16, archana-software-ltd
538922, 17.93, 0.20, 12.63, 17.95, 3.61, css-technergy-ltd
531600, 18.96, 0.01, 10.34, 4.63, 1.73, gogia-capital-services-limited
532730, 19.16, --, 15.25, 28.60, 0.02, stl-global-ltd
531758, 33.46, --, --, --, 0.53, gkconsultants-ltd
531726, 39.95, 0.34, 13.87, 10.26, 9.57, panchsheel-organics-ltd
538964, 55.26, 0.32, 23.81, 18.26, 48.17, mercury-laboratories-ltd
514354, 60.12, 0.48, 12.10, 9.87, 2.48, premier-polyfilm-ltd
538795, 67.44, 0.38, 13.79, 9.41, 36.20, shree-ajit-pulp-and-paper-ltd
590043, 152.64, 0.50, 17.73, 14.65, 13.50, harita-seating-systems-ltd
536264, 169.16, 0.30, 25.76, 19.58, 24.44, tiger-logistics-(india)-ltd
533217, 2049.89, 0.13, 23.72, 19.06, 22.68, hindustan-media-ventures-ltd
